user_id,user_age,Sexo,codigo_sexo,nombre_cancion,genero,Codigo_cancion,parrafos,Grado_poder
500737046,27,Chico,0,Mayores,reguetón,10005,4,9
,,,,,6,
,,,,,7,
500737046,27,Chico,0,Havana,pop,20001,0,0
