_id,Name_song,Genero,Artista,user_id,user_age,analisis,valid,Lyrics
10000,Échame La Culpa,regueton,Luis Fonsi & Demi Lovato,"[514577593,210964221,115658979,440295695,494681716,446747853]","[18,40,25,15,16,16,16,16,20]",9,0,"


Letra de ""Échame La Culpa""[English Translation]

[Intro: Demi Lovato & Luis Fonsi]
Hey Fonsi?
Oh no
¿Qué pasa, Demi?
Mmm... hmhm...
Hey, yeah (ayy)

[Verso: Luis Fonsi & Demi Lovato]
Tengo en esta historia algo que confesar
Ya entendí muy bien qué fue lo que pasó
Y aunque duela tanto tengo que aceptar
Que tú no eres la mala, que el malo soy yo
No me conociste nunca de verdad
Ya se fue la magia que te enamoró
Y es que no quisiera estar en tu lugar
Porque tu error sólo fue conocerme

[Coro: Luis Fonsi & Demi Lovato & Dúo]
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa

[Puente: Demi Lovato & Luis Fonsi]
Okay, I don't really, really wanna fight anymore
I don't really, really want to fake it no more
Play me like The Beatles, baby, just let it be
So come on, put the blame on me, yeah
I don't really, really wanna fight anymore
I don't really, really want to fake it no more
Play me like The Beatles, baby, just let it be
So come on, put the blame on me

[Coro: Luis Fonsi & Demi Lovato & Dúo]
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa

[Puente: Demi Lovato & Luis Fonsi]
Okay, I don't really, really wanna fight anymore
I don't really, really want to fake it no more
Play me like The Beatles, baby, just let it be
So come on, put the blame on me, yeah
I don't really, really wanna fight anymore
I don't really, really want to fake it no more
Play me like The Beatles, baby, just let it be
So come on, put the blame on me

[Coro: Luis Fonsi & Demi Lovato & Dúo]
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa

[Post-Coro: Dúo]
Solamente te falta un beso
Solamente te falta un beso
Ese beso que siempre te prometí
Échame la culpa
Solamente te falta un beso
Solamente te falta un beso
Ese beso que siempre te prometí
Échame la culpa

[Puente: Demi Lovato + Luis Fonsi]
Okay, I don't really, really wanna fight anymore
I don't really, really want to fake it no more
Play me like The Beatles, baby, just let it be
So come on, put the blame on me, yeah
I don't really, really wanna fight anymore
I don't really, really want to fake it no more
Play me like The Beatles, baby, just let it be
So come on, put the blame on me

[Coro: Luis Fonsi & (Demi Lovato) & Dúo]
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa
No eres tú, no eres tú, no eres tú, soy yo (soy yo)
No te quiero hacer sufrir, es mejor olvidar y dejarlo así (así)
Échame la culpa

[Post-Coro: Dúo]
Solamente te falta un beso
Solamente te falta un beso
Ese beso que siempre te prometí
Échame la culpa
Solamente te falta un beso
Solamente te falta un beso
Ese beso que siempre te prometí
Échame la culpa

"
10001,Perro Fiel,regueton,Shakira,[459450208],[21],1,0,"


Letra de ""Perro Fiel"" ft. Nicky Jam[Verso 1: Shakira & Nicky Jam]
Aquí estás
Ya no puedes detenerte
¿Dónde vas? Si estoy loco por tenerte
Cómo lo iba a saber
Que te vería otra vez

[Coro: Shakira & Nicky Jam]
Tú me confundes, no sé qué hacer
Yo lo que quiero es pasarla bien
Yo tengo miedo de que me guste
Y que vaya a enloquecer
Si eso pasa yo seguiré
Contigo aquí como un perro fiel
Yo tengo miedo de que me guste
Y que vaya a enloquecer

[Verso 2: Shakira & Nicky Jam]
Te hablo en serio mai, no estoy jugando
Tanto tiempo pasa y nada
Estas ganas no me aguanto
Y aunque tú me esquives, yo te sigo deseando
Dicen que tú eres peligrosa
No le hago caso a esas cosas
Dime qué está pasando
Me tienes como un loco, soy un loco enamorado, eh
Quiero saber cuánto me vas a insistir
Y hasta dónde llegarías por mí
Siento mucho la espera
Pero valdrá la pena cuando te esté besando
De la manera que te mueves así
Yo te lo juro me voy a derretir
Tú sabes que soy buena
Por más que yo te esquive me sigues deseando

[Coro: Shakira & Nicky Jam]
Tú me confundes, no sé qué hacer
Yo lo que quiero es pasarla bien
Yo tengo miedo de que me guste
Y que vaya a enloquecer
Si eso pasa yo seguiré
Contigo aquí como un perro fiel
Yo tengo miedo de que me guste
Y que vaya a enloquecer

[Puente: Shakira]
Enloque-que-quecer
Yo no pido nada extraordinario
Solo un hombre de verdad
Que se tire por mí al barro
Que cambie las bombillas y hasta que me lave el carro
Quiero un tipo atento y cariñoso
Pero que no sea muy celoso
Que en la calle sea un príncipe
Pero que en mi cama sea salvaje y peligroso

[Verso 3: Shakira & Nicky Jam]
Puedes pedir lo que quieras de mí
Yo haría lo que fuera para ti
Siento mucho la espera
Pero valdrá la pena cuando te esté besando
Yo estoy seguro que estoy hecho pa' ti
Yo te lo juro no te haré sufrir
Como te dije nena
Por más que tú me esquives, te sigo deseando

[Coro: Shakira & Nicky Jam]
Tú me confundes, no sé qué hacer
Yo lo que quiero es pasarla bien
Yo tengo miedo de que me guste
Y que vaya a enloquecer
Si eso pasa yo seguiré
Contigo aquí como un perro fiel
Yo tengo miedo de que me guste
Y que vaya a enloquecer

[Puente: Shakira & Nicky Jam]
Enloque-que-quecer
Aquí estás
Ya no puedes detenerte
¿Dónde vas? (¡Oh!)
Si estoy loco por tenerte

"
10002,Criminal,regueton,Natti Natasha,[],[],0,0,"


Letra de ""Criminal"" ft. Ozuna

English translation
[Intro: Ozuna]
Uoh oh oh
El Negrito Ojos Claros
Ozuna

[Pre-Coro: Ozuna & Natti Natasha]
Miento, si te digo que en ti no ando pensando
Quisiera saber lo que estás haciendo
Te llamo pero me sale ocupado, uoh

Tú me robaste el corazón como un criminal
Bebé yo no puedo negarlo
Esto que siento por ti no puede ser legal

[Coro: Natti Natasha, Ozuna]
Criminal, cri, criminal
Tu estilo, tu flow baby, muy criminal
Criminal, uh, criminal, ah

Criminal, cri, criminal
Tu estilo, tu flow mami, muy criminal
Criminal, cri, criminal, ah

[Verso 1: Ozuna]
Ya tú me miras como que te pongo mal
De lejos yo puedo observar lo que tu mente puede pensar
Tú me dices que yo me dejo llevar
Será porque tienes un flow demasiao' de cri-criminal, baby

Similar yo la he visto por ahí
Que solo la mire de lejitos y se ponga así, salvaje
Bailame, pero con coraje
Y deja que esta pista haga que te suba el traje

[Pre-Coro: Natti Natasha]
Miento, si te digo que en ti no ando pensando
Quisiera saber lo que estás haciendo
Te llamo pero me sale ocupado, uoh

Tú me robaste el corazón como un criminal
Bebé yo no puedo negarlo
Esto que siento por ti no puede ser legal, ah

[Coro: Natti Natasha, Ozuna]
Criminal, cri, criminal
Tu estilo, tu flow baby, muy criminal
Criminal, uh, criminal, ah

Criminal, cri, criminal
Tu estilo, tu flow mami, muy criminal
Criminal, cri, criminal, ah

[Verso 2: Natti Natasha]
Como tú no hace, rompe la ley
Tú eres un delito que yo quiero cometer
Si por eso dieran tiempo, perpetuar debieras ver
Para mis problemas que no quiero resolver no

Tú me encantas, yo no te quiero mentir
Tú eres para mí, no te quiero compartir
Sin mala maña, la cosa se nos daña
Tú, no te has ido y mi cuerpo a ti te extraña

[Puente: Ozuna]
Tú me miras como que te pongo mal
De lejos yo puedo observar lo que tu mente puede pensar
Tú me dices que yo me dejo llevar
Será porque tienes un flow demasiao' de cri-criminal, baby

[Coro: Natti Natasha, Ozuna]
Criminal, cri, criminal
Tu estilo, tu flow baby, muy criminal
Criminal, uh, criminal, ah

Criminal, cri, criminal
Tu estilo, tu flow mami, muy criminal
Criminal, cri, criminal, ah

[Outro: Ozuna]
Pina Records
Dîmelo Vi
Natti Nat, Natti Nat
La Formula

"
10003,Corazón,regueton,Maluma,"[393673671,511692637,493889538,12948877,514577593]","[23,15,41,46,18]",5,0,"


Letra de ""Corazón"" ft. Nego do Borel
Translation: [EN]
[Intro: Maluma]
Alrighty right, baby

[Coro: Maluma]
Tú me partiste el corazón (Maluma, baby)
Pero mi amor no hay problema, no, no (Rudeboyz)
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

Tú me partiste el corazón (Ay mi corazón)
Pero mi amor no hay problema, no, no
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

[Verso 1: Maluma]
Ya no vengas más con esos cuentos mami
Si desde el principio siempre estuve pa' ti
Nunca me avisaron cuál era el problema
Te gusta estar rodando por camas ajena

Ahora me tocó a mí cambiar el sistema
Andar con gatas nuevas, repartir el corazón
Sin tanta pena, ahora te digo goodbye
Muito obrigado, pa' ti ya no hay

[Pre-Coro: Maluma]
Uooh uooh uohh, uooh uooh uohh
No tengo miedo de decir adiós
Yo quiero repartir meu coração

Uooh uooh uohh, uooh uooh uohh
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay
(Maluma, baby)

[Coro: Nego do Borel, Maluma]
Você partiu meu coração (Ai, meu coração)
Mas meu amor, não tem problema, não, não
Que agora vai sobrar então (O quê? O quê?)
Un pedacito a cada nena
Sólo un pedacito

[Puente: Nego do Borel]
Se eu não guardo nem dinheiro
Quem dirá guardar rancor
Você vacilou primeiro
Nosso caso acabou

[Pre-Coro: Maluma]
Uooh uooh uohh, uooh uooh uohh
No tengo miedo de decir adiós
Yo quiero repartir meu coração

Uooh uooh uohh, uooh uooh uohh
Ahora te digo goodbye
Muito obrigado, pa' ti ya no hay

[Coro: Maluma]
Tú me partiste el corazón (Ay mi corazón)
Pero mi amor no hay problema, no, no
Ahora puedo regalar un pedacito a cada nena
Sólo un pedacito

[Outro: Maluma]
Tchau tchau
Eu não sei falar muito bem português
Mas quero aprender

Pretty boy, baby
Dirty boy, baby
Maluma, baby

Tú me partiste el corazón (Maluma, baby)
Pero mi amor no hay problema (Rudeboyz)
Sólo un pedacito
(Maluma, baby)

"
10004,Mi Gente (feat. Beyoncé),regueton,J Balvin & Willy William,"[393042666,4063874]","[13,37]",2,0,"



Letra de ""Mi Gente"" (Remix) ft. Beyoncé
[English Translation]
[Verso 1: J Balvin & Beyoncé]
Si el ritmo te lleva a mover la cabeza ya empezamos cómo es
Mi música no discrimina a nadie así que vamos a romper

Con lo mío todos se mueven
La fiesta la llevo en mis genes
Yo soy la reina de los nenes
Mi gente no se detiene, aquí nadie se quiere ir

Si el ritmo está en tu cabeza
Ahora suéltate y mueve los pies
Me encanta cuando el bajo suena
Empezamos a subir de nivel

Toda mi gente se mueve
La fiesta la llevo en mis genes
Yo soy la reina de los nenes
Mi musica los tiene fuerte bailando y se baila así

[Verso 2: Willy William & Beyoncé]
Tamo' rompiendo la discoteca
La fiesta no para, apenas comienza
C'est comme-ci, c'est comme-ça
Ma chèrie, la la la la la
Francia, Colombia, Houston (Freeze)
J Balvin, Willy William, Beyoncé (Freeze)
Los DJ's no mienten, le gusta a mi gente y eso se fue mundial (Freeze)
No le bajamos, más nunca paramos es otro palo y ¡Blam!

[Pre-Coro: J Balvin, Willy William, Beyoncé]
¿Y dónde está mi gente?
Mais fais bouger la tête
Azul, are you with me
Say yeah, yeah, yeah
Un, dos, tres, leggo'
(Ay yeah, yeah, yeah)

[Verso 3: Beyoncé]
He say my body stay wetter than the ocean
And he say that Creole in my body is like a potion
I can be a beast or I can give you emotion
But please don't question my devotion
I been giving birth on these haters 'cause I'm fertile
See these double Cs on this bag, murda
Want my double Ds in his bed, Serta
If you really love me make an album about me, word up

Soon as I walk in
Boys start they talkin
Right as that booty sway (Freeze)
Slay
Lift up your people
From Texas, Puerto Rico
Dem' islands to México (Freeze)

[Pre-Coro: J Balvin, Willy William, Beyoncé]
¿Y dónde está mi gente? (Yeah, yeah, yeah)
Mais fais bouger la tête (Yeah, yeah, yeah)
¿Y dónde está mi gente? (Yeah, yeah, yeah)
Say yeah, yeah, yeah
Un, dos, tres, leggo'
(Ay yeah, yeah, yeah)

[Verso 4: J Balvin & Beyoncé]
Esquina a esquina, de ahí no' vamo' (de ahí no' vamo')
El mundo es grande pero lo tengo en mi' manos
Estoy muy duro, sí, ok, ahí vamos
Y con el tiempo nos seguimos elevando

Que seguimos rompiendo aquí
Esta fiesta no tiene fin
Botellas para arriba, sí
Mi gente no se detiene, aquí nadie se quiere ir

[Pre-Coro: J Balvin, Willy William, Beyoncé, (Blue Ivy)]
¿Y dónde está mi gente?
Mais fais bouger la tête
Azul, are you with me
Say yeah, yeah, yeah
Un, dos, tres, leggo'
(Oh, yes, I am)

[Outro: J Balvin]
Worldwide
Willy William
J Balvin, man
Uh huh, Uh huh
Uh huh, Uh huh

"
10005,Mayores,regueton,Becky G,"[500737046,470682426,4510614,32849547,281082907,545227712]","[27,46,35,33,15,15]",6,1,"


Letra de ""Mayores"" ft. Bad Bunny[Intro: Becky G]
Whoah oh, oh, oh
Oh, oh, oh
Whoah oh, oh

[Verso 1: Becky G]
A mí me gusta que me traten como dama
Aunque a veces se me olvide cuando estamos en la cama
A mí me gusta que me digan poesía
Al oído por la noche cuando hacemos groserías

[Pre-Coro: Becky G]
Me gusta un caballero, que sea interesante
Que sea un buen amigo, pero más un buen amante
¿Qué importan unos años de más?

[Coro: Becky G]
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

[Post-Coro: Becky G]
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh

[Verso 2: Bad Bunny]
Yo no soy viejo pero tengo la cuenta como uno
Si quieres a la cama yo te llevo el desayuno
Como yo ninguno, un caballero con veintiuno
Yo estoy puesto pa' toas' tus locuras
Tú quiere' un viejo ¿Tas' segura?
Yo te prometo un millón de aventuras
Y en la cama te duro lo que él no dura

[Pre-Coro: Bad Bunny]
Yo estoy activo 24/7
Conmigo no hacen faltan los juguetes
Yo todavía nuevo de paquete
Pero si te gustan usao' pues con otro vete

[Coro: Becky G]
A mí me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

[Post-Coro: Becky G]
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh

[Puente: Becky G]
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla
Yo no quiero un niño que no sepa nada
Yo prefiero un tipo que me de la talla

[Coro: Becky G]
A mí me gustan, me gustan mayores
De esos que llaman señores
De los que te abren la puerta y te mandan flores
A mí me gustan más grandes
Que no me quepa en la boca
Los besos que quiera darme y que me vuelva loca

[Post-Coro: Becky G]
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh
Loca, whoah oh, oh, oh
Loca

[Outro: Bad Bunny]
Bad Bunny, baby
Becky G
Becky G

"
10006,Déjate Llevar,regueton,Juan Magán,"[388019140,492729980,313183839]","[16,24,69]",3,0,"


Letra de ""Déjate Llevar"" ft. B-Case, Snova, Manuel Turizo & Belinda[Intro: Juan Magán]
Por las calles hay un rumor
El no te da el amor que te mereces
Te lo mereces
Calmara el dolor
Te trataré mejor
Si tú me dejas darte todo mi calor

[Pre-Coro: Belinda & Juan Magán]
Y ahora trata, trata
De descontrolarme
Suelta, suelta
Pierde los modales
Oh, sientes el subidón

[Pre-Coro: Manuel Turizo]
Tu cuerpo me mata, mata
No hay quien te pare
Falta, falta
Un hombre que sabe como amarte

[Coro: Juan Magán]
Solo quiere bailar sola
Dejar lo malo atrás
Ahora nadie te controla
No te hará daño jamás

Solo quiere bailar sola
Sé que te hicieron mal
Seré el que te salve ahora
Ven y déjate llevar
Ven y déjate llevar

[Verso 1: Belinda]
No hay tiempo que perder
Dime qué tengo que hacer
Pa' rescatarte
Pa' enamorarte
Eh, eh
Olvida el mal
Soy el tequila y tú la sal
Baby dame una señal y aquí estaré

[Pre-Coro: Juan Magán]
Y ahora trata, trata
De descontrolarme
Suelta, suelta
Pierde los modales
Oh, sientes el subidón

[Pre-Coro: Juan Magán]
Tu cuerpo me mata, mata
No hay quien te pare
Falta, falta
Un hombre que sabe como amarte

[Coro: Juan Magán & Belinda]
Solo quiere bailar sola
Deja lo malo atrás
Ahora nadie te controla
No te hará daño jamas

Solo quiere bailar sola
Sé que te hicieron mal
Seré el que te salve ahora
Ven y déjate llevar
Baby, déjate llevar

[Verso 2: Manuel Turizo]
Déjame te explico
Te escribo una canción
Y la leeré, te la dedico
Te juro hasta que no estés bien
Yo no me quito
Haré que se te pasen las horas
Sin pensar en ese tipo
Quiero aprovechar el tiempo
Y decirte de una vez
Quiero ser el que te ponga
El mundo al revés
Solo que quieras
Tu dile y si era
Yo quiero verte sonreír otra vez

[Verso 3: Snova]
Yo sé que está dolida
Yo nunca podré ser arrecerida
Pero puede ser que tú lo olvides
Y ser la vida mía
No te puedo mentir acerca de mi propuesta
No sé si es indecente pero seré tu poeta
Pa' llevarte a la playa conmigo
Saltar por esos ruses
Entre la piscina por ti a nombre mío
Ahora dime qué tal, dime si tú te vas

[Coro: Juan Magán]
Solo quiere bailar sola
Deja lo malo atrás
Ahora nadie te controla
No te hará daño jamás

Solo quiere bailar sola
Sé que te hicieron mal
Seré el que te salve ahora
Ven y déjate llevar
Ven y déjate llevar

[Outro: Juan Magán, Manuel Turizo & Snova]
Juan Magan
Belinda
Manuel Turizo
Snova
B Case

"
10007,Despacito,regueton,Luis Fonsi,"[513594025,514577593,444592711]","[51,18,41]",3,0,"


Letra de ""Despacito"" ft. Daddy Yankee[Translation]

[Intro: Luis Fonsi & Daddy Yankee]
Ay, ¡Fonsi! ¡D.Y.!
Ohhh, oh, no, oh, no, oh
Hey, yeah!
Dididiri Daddy, go!

[Intro: Luis Fonsi & Daddy Yankee]
Sí, sabes que ya llevo un rato mirándote
Tengo que bailar contigo hoy
(¡D.Y.!) Vi que tu mirada ya estaba llamándome
Muéstrame el camino que yo voy

[Verso 1: Luis Fonsi & Daddy Yankee]
¡Oh!
Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (oh, yeah!)
Ya, ya me está gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

[Coro: Luis Fonsi & Daddy Yankee]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)

[Pos-Coro: Luis Fonsi & Daddy Yankee]
Quiero ver bailar tu pelo, quiero ser tu ritmo (whoa, whoa)
Que le enseñes a mi boca (woah, woah)
Tus lugares favoritos (favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (whoa, whoa)
Hasta provocar tus gritos (whoa, whoa)
Y que olvides tu apellido

[Verso 2: Daddy Yankee]
Si te pido un beso, ven, dámelo, yo sé que estás pensándolo
Llevo tiempo intentándolo, mami, esto es dando y dándolo
Sabes que tu corazón conmigo te hace bang-bang
Sabes que esa beba está buscando de mi bang-bang
Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empecemos lento, después salvaje

[Pre-Coro: Daddy Yankee]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo aquí tengo la pieza
¡Oye!

[Coro: Luis Fonsi, Daddy Yankee]
Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo
Despacito
Quiero desnudarte a besos despacito
Firmo en las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito
(Sube, sube, sube, sube, sube)

[Pos-Coro: Luis Fonsi , Daddy Yankee]
Quiero ver bailar tu pelo, quiero ser tu ritmo (whoa, whoa)
Que le enseñes a mi boca (whoa, whoa)
Tus lugares favoritos (favorito, favorito, baby)
Déjame sobrepasar tus zonas de peligro (whoa, whoa)
Hasta provocar tus gritos (whoa, whoa)
Y que olvides tu apellido

[Verso 3: Luis Fonsi]
Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten ""¡Ay, Bendito!""
Para que mi sello se quede contigo
¡Bailalo!

[Outro: Daddy Yankee & Luis Fonsi]
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Que le enseñes a mi boca
Tus lugares favoritos
(Favorito, favorito, baby)
Pasito a pasito, suave suavecito
Nos vamos pegando, poquito a poquito
Hasta provocar tus gritos (Fonsi)
Y que olvides tu apellido (D.Y.)
Des-pa-cito

"
10008,Súbeme La Radio,regueton,Enrique Iglesias,"[500737046,77938606,514577593]","[27,33,18]",3,0,"



Letra de ""Súbeme La Radio"" ft. Descemer Bueno & Zion & Lennox[Intro: Enrique Iglesias]
Súbeme la radio
Trá-tráeme el alcohol

[Chorus: Enrique Iglesias & Descemer Bueno]
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

[Chorus: Enrique Iglesias]
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

[Verse 1: Enrique Iglesias, Descemer Bueno]
Ya no me importa nada
Ni el día ni la hora
Si lo he perdido todo
Me has dejado en las sombras
Te juro que te pienso
Hago el mejor intento
El tiempo pasa lento
Y yo me voy muriendo
(Y yo me voy muriendo)

[Verse 2: Zion]
Si llega la noche y tú no contestas
Te juro me quedo esperando a tu puerta
Vivo pasando las noches en vela
Y sigo cantando bajo la luna llena

[Chorus: Enrique Iglesias & Descemer Bueno]
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

[Chorus: Enrique Iglesias]
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

[Verse 3: Descemer Bueno]
Huyendo del pasado
En cada madrugada
No encuentro ningún modo
De borrar nuestra historia
A su salud bebiendo
(A su salud bebiendo)
Mientras me quede aliento
(Mientras me quede aliento)
Sólo le estoy pidiendo
(Sólo te estoy pidiendo)
Romper este silencio
(Romper este silencio)

[Chorus: Enrique Iglesias & Descemer Bueno]
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

[Chorus: Enrique Iglesias]
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

[Verse 4: Lennox]
Ando loco y desesperado en busca de tu amor
No me dejes en esta soledad te pido
Nena te digo, vuelve conmigo
Si tú me llamas, te juro que pa' allá voy yo

Quiero verte ya
Ya no aguanto más
Quiero darte calor
Solo una vez más
Ya no aguanto más
Quiero verte ya, hoy

[Bridge: Enrique Iglesias]
Yo no te miento
Todavía te espero
Sabes bien que te quiero
No sé vivir sin ti
Yo no te miento
Todavía te espero
Sabes bien que te quiero
No sé vivir sin ti

[Chorus: Enrique Iglesias & Descemer Bueno]
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

[Chorus: Enrique Iglesias]
Súbeme la radio que esta es mi canción
Siente el bajo que va subiendo
Tráeme el alcohol que quita el dolor
Hoy vamo' a juntar la luna y el sol

[Outro: Enrique Iglesias]
Súbeme la radio
Tráeme el alcohol
Súbeme la radio

"
